Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;Jaén;Administración y gestión (n.d.);0
AMBOS SEXOS;Jaén;03 AGRARIA;92
AMBOS SEXOS;Jaén;Aprovechamiento y conservación del medio natural;29
AMBOS SEXOS;Jaén;Jardinería y floristería;21
AMBOS SEXOS;Jaén;Producción agroecológica;11
AMBOS SEXOS;Jaén;Producción agropecuaria;31
AMBOS SEXOS;Jaén;04 ARTES GRÁFICAS;31
AMBOS SEXOS;Jaén;Impresión gráfica;11
AMBOS SEXOS;Jaén;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Jaén;Preimpresión digital;20
AMBOS SEXOS;Jaén;06 COMERCIO Y MARKETING;151
AMBOS SEXOS;Jaén;Actividades comerciales;151
AMBOS SEXOS;Jaén;Comercialización de productos alimentarios;0
AMBOS SEXOS;Jaén;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Jaén;Construcción;0
AMBOS SEXOS;Jaén;Obras de interior, decoración y rehabilitación;0
AMBOS SEXOS;Jaén;08 ELECTRICIDAD Y ELECTRÓNICA;140
AMBOS SEXOS;Jaén;Instalaciones de telecomunicaciones;43
AMBOS SEXOS;Jaén;Instalaciones eléctricas y automáticas;97
AMBOS SEXOS;Jaén;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Jaén;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Jaén;10 FABRICACIÓN MECÁNICA;55
AMBOS SEXOS;Jaén;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;Jaén;Joyería (LOGSE);0
AMBOS SEXOS;Jaén;Mecanizado;12
AMBOS SEXOS;Jaén;Soldadura y calderería;43
AMBOS SEXOS;Jaén;11 HOSTELERÍA Y TURISMO;56
AMBOS SEXOS;Jaén;Cocina y gastronomía;48
AMBOS SEXOS;Jaén;Servicios de restauración;8
AMBOS SEXOS;Jaén;12 IMAGEN PERSONAL;138
AMBOS SEXOS;Málaga;Estética y belleza;59
AMBOS SEXOS;Málaga;Peluquería y cosmética capilar;79
AMBOS SEXOS;Málaga;13 IMAGEN Y SONIDO;14
AMBOS SEXOS;Málaga;Vídeo, disc-jockey y sonido;14
