Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Córdoba,Mecanizado,5.0,MEDIO
AMBOS SEXOS,Córdoba,Soldadura y calderería,20.0,MEDIO
AMBOS SEXOS,Córdoba,11 HOSTELERÍA Y TURISMO,45.0,MEDIO
AMBOS SEXOS,Córdoba,Cocina y gastronomía,35.0,MEDIO
AMBOS SEXOS,Córdoba,Servicios de restauración,10.0,MEDIO
AMBOS SEXOS,Córdoba,12 IMAGEN PERSONAL,64.0,MEDIO
AMBOS SEXOS,Córdoba,Estética y belleza,17.0,MEDIO
AMBOS SEXOS,Córdoba,Peluquería y cosmética capilar,47.0,MEDIO
AMBOS SEXOS,Córdoba,13 IMAGEN Y SONIDO,10.0,MEDIO
AMBOS SEXOS,Córdoba,"Vídeo, disc-jockey y sonido",10.0,MEDIO
AMBOS SEXOS,Córdoba,14 INDUSTRIAS ALIMENTARIAS,13.0,MEDIO
AMBOS SEXOS,Córdoba,Aceites de oliva y vinos,0.0,MEDIO
AMBOS SEXOS,Córdoba,Elaboración de productos alimenticios,0.0,MEDIO
AMBOS SEXOS,Córdoba,"Panadería, repostería y confitería",13.0,MEDIO
AMBOS SEXOS,Córdoba,15 INDUSTRIAS EXTRACTIVAS,4.0,MEDIO
AMBOS SEXOS,Córdoba,Excavaciones y sondeos,4.0,MEDIO
AMBOS SEXOS,Córdoba,Piedra natural,0.0,MEDIO
AMBOS SEXOS,Córdoba,16 INFORMÁTICA Y COMUNICACIONES,149.0,MEDIO
AMBOS SEXOS,Córdoba,Sistemas microinformáticos y redes,149.0,MEDIO
AMBOS SEXOS,Córdoba,17 INSTALACIÓN Y MANTENIMIENTO,27.0,MEDIO
AMBOS SEXOS,Córdoba,Instalaciones de producción de calor,7.0,MEDIO
AMBOS SEXOS,Córdoba,Instalaciones frigoríficas y de climatización,8.0,MEDIO
AMBOS SEXOS,Córdoba,Mantenimiento electromecánico,12.0,MEDIO
AMBOS SEXOS,Córdoba,"18 MADERA, MUEBLE Y CORCHO",8.0,MEDIO
AMBOS SEXOS,Córdoba,Carpintería y mueble,8.0,MEDIO
AMBOS SEXOS,Córdoba,Instalación y amueblamiento,0.0,MEDIO
AMBOS SEXOS,Córdoba,19 MARÍTIMO-PESQUERA,13.0,MEDIO
AMBOS SEXOS,Córdoba,Cultivos acuícolas,0.0,MEDIO
AMBOS SEXOS,Córdoba,Mantenimiento y control de la maquinaria de buques y embarcaciones,8.0,MEDIO
AMBOS SEXOS,Córdoba,Navegación y pesca de litoral,5.0,MEDIO
AMBOS SEXOS,Córdoba,Operaciones subacuáticas y hiperbáricas,0.0,MEDIO
AMBOS SEXOS,Córdoba,20 QUÍMICA,18.0,MEDIO
AMBOS SEXOS,Córdoba,Operaciones de laboratorio,18.0,MEDIO
AMBOS SEXOS,Córdoba,Planta química,0.0,MEDIO
AMBOS SEXOS,Córdoba,21 SANIDAD,411.0,MEDIO
AMBOS SEXOS,Córdoba,Cuidados auxiliares de enfermería (LOGSE),277.0,MEDIO
AMBOS SEXOS,Granada,Emergencias sanitarias,40.0,MEDIO
AMBOS SEXOS,Granada,Farmacia y parafarmacia,94.0,MEDIO
AMBOS SEXOS,Granada,22 SEGURIDAD Y MEDIO AMBIENTE,0.0,MEDIO
AMBOS SEXOS,Granada,Emergencias y protección civil,0.0,MEDIO
AMBOS SEXOS,Granada,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,110.0,MEDIO
AMBOS SEXOS,Granada,Atención a personas en situación de dependencia,110.0,MEDIO
