Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,65.4,BASICO
AMBOS SEXOS,Comunidad de Madrid,AGRARIA,72.7,BASICO
AMBOS SEXOS,Comunidad de Madrid,ARTES GRÁFICAS,68.9,BASICO
AMBOS SEXOS,Comunidad de Madrid,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,COMERCIO Y MARKETING,68.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,59.6,BASICO
AMBOS SEXOS,Comunidad de Madrid,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,FABRICACIÓN MECÁNICA,65.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,HOSTELERÍA Y TURISMO,68.5,BASICO
AMBOS SEXOS,Comunidad de Madrid,IMAGEN PERSONAL,64.5,BASICO
AMBOS SEXOS,Comunidad de Madrid,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INFORMÁTICA Y COMUNICACIONES,65.2,BASICO
AMBOS SEXOS,Comunidad de Madrid,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Comunidad de Madrid,"MADERA, MUEBLE Y CORCHO",73.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,QUÍMICA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,SANIDAD,,BASICO
AMBOS SEXOS,Comunidad de Madrid,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
