Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
Hombres,Principado de Asturias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
Hombres,Principado de Asturias,ADMINISTRACIÓN Y GESTIÓN,52.0,BASICO
Hombres,Principado de Asturias,AGRARIA,100.0,BASICO
Hombres,Principado de Asturias,ARTES GRÁFICAS,,BASICO
Hombres,Principado de Asturias,ARTES Y ARTESANÍAS,,BASICO
Hombres,Principado de Asturias,COMERCIO Y MARKETING,72.7,BASICO
Hombres,Principado de Asturias,EDIFICACIÓN Y OBRA CIVIL,,BASICO
Hombres,Principado de Asturias,ELECTRICIDAD Y ELECTRÓNICA,48.2,BASICO
Hombres,Principado de Asturias,ENERGÍA Y AGUA,,BASICO
Hombres,Principado de Asturias,FABRICACIÓN MECÁNICA,61.7,BASICO
Hombres,Principado de Asturias,HOSTELERÍA Y TURISMO,72.4,BASICO
Hombres,Principado de Asturias,IMAGEN PERSONAL,46.0,BASICO
Hombres,Principado de Asturias,IMAGEN Y SONIDO,,BASICO
Hombres,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,,BASICO
Hombres,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,BASICO
Hombres,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,69.3,BASICO
