Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;Huelva;Alojamiento y lavandería;0
AMBOS SEXOS;Huelva;Cocina y restauración;45
AMBOS SEXOS;Huelva;12 IMAGEN PERSONAL;6
AMBOS SEXOS;Huelva;Peluquería y estética;6
AMBOS SEXOS;Huelva;14 INDUSTRIAS ALIMENTARIAS;13
AMBOS SEXOS;Huelva;Industrias alimentarias;13
AMBOS SEXOS;Huelva;16 INFORMÁTICA Y COMUNICACIONES;40
AMBOS SEXOS;Huelva;Informática de oficina;9
AMBOS SEXOS;Huelva;Informática y comunicaciones;31
AMBOS SEXOS;Huelva;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Huelva;Mantenimiento de viviendas;0
AMBOS SEXOS;Huelva;18 MADERA, MUEBLE Y CORCHO;4
AMBOS SEXOS;Huelva;Carpintería y mueble;4
AMBOS SEXOS;Huelva;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Huelva;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Huelva;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Huelva;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Huelva;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Huelva;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Huelva;Tapicería y cortinaje;0
AMBOS SEXOS;Huelva;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;29
AMBOS SEXOS;Huelva;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Huelva;Mantenimiento de vehículos;29
AMBOS SEXOS;Huelva;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Huelva;Vidriería y alfarería;0
AMBOS SEXOS;Jaén;00 TOTAL;258
AMBOS SEXOS;Jaén;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Jaén;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Jaén;02 ADMINISTRACIÓN Y GESTIÓN;57
AMBOS SEXOS;Jaén;Servicios administrativos;57
AMBOS SEXOS;Jaén;03 AGRARIA;26
AMBOS SEXOS;Jaén;Actividades agropecuarias;5
AMBOS SEXOS;Jaén;Agro-jardinería y composiciones florales;21
AMBOS SEXOS;Jaén;Aprovechamientos forestales;0
AMBOS SEXOS;Jaén;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Jaén;Artes gráficas;0
AMBOS SEXOS;Jaén;06 COMERCIO Y MARKETING;10
AMBOS SEXOS;Jaén;Servicios comerciales;10
AMBOS SEXOS;Jaén;07 EDIFICACIÓN Y OBRA CIVIL;7
AMBOS SEXOS;Jaén;Reforma y mantenimiento de edificios;7
AMBOS SEXOS;Jaén;08 ELECTRICIDAD Y ELECTRÓNICA;30
AMBOS SEXOS;Jaén;Electricidad y electrónica;30
AMBOS SEXOS;Jaén;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Jaén;10 FABRICACIÓN MECÁNICA;24
AMBOS SEXOS;Jaén;Fabricación de elementos metálicos;0
AMBOS SEXOS;Jaén;Fabricación y montaje;24
AMBOS SEXOS;Jaén;11 HOSTELERÍA Y TURISMO;21
AMBOS SEXOS;Jaén;Actividades de panadería y pastelería;0
AMBOS SEXOS;Jaén;Alojamiento y lavandería;0
AMBOS SEXOS;Jaén;Cocina y restauración;21
AMBOS SEXOS;Jaén;12 IMAGEN PERSONAL;13
AMBOS SEXOS;Jaén;Peluquería y estética;13
AMBOS SEXOS;Jaén;14 INDUSTRIAS ALIMENTARIAS;6
AMBOS SEXOS;Jaén;Industrias alimentarias;6
AMBOS SEXOS;Jaén;16 INFORMÁTICA Y COMUNICACIONES;41
AMBOS SEXOS;Jaén;Informática de oficina;17
AMBOS SEXOS;Jaén;Informática y comunicaciones;24
AMBOS SEXOS;Jaén;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Jaén;Mantenimiento de viviendas;0
AMBOS SEXOS;Jaén;18 MADERA, MUEBLE Y CORCHO;4
AMBOS SEXOS;Jaén;Carpintería y mueble;4
AMBOS SEXOS;Jaén;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Jaén;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Jaén;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;3
AMBOS SEXOS;Jaén;Actividades domésticas y limpieza de edificios;3
AMBOS SEXOS;Jaén;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Jaén;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Jaén;Tapicería y cortinaje;0
AMBOS SEXOS;Jaén;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;10
AMBOS SEXOS;Jaén;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Jaén;Mantenimiento de vehículos;10
AMBOS SEXOS;Jaén;26 VIDRIO Y CERÁMICA;6
AMBOS SEXOS;Jaén;Vidriería y alfarería;6
AMBOS SEXOS;Málaga;00 TOTAL;635
